"id","game","event_type","created_at","team_name","player_name","related_player_name","result","minute","extra_minute","previous_player_event","previous_player_event_at","seconds_after_previous_event","player_id","related_player_id","participant_id","fixture_id"
116521646,Spain vs Georgia (2024-06-30),Yellowcard,2024-06-30 22:11:00.000,Georgia,Zuriko Davitashvili,,,71,0,Substitution,2024-06-30 22:03:00.000,480.0,539555,,18692,19032607
116521471,Spain vs Georgia (2024-06-30),Substitution,2024-06-30 22:03:00.000,Georgia,Zuriko Davitashvili,G. Chakvetadze,,63,0,,,,539555,106821,18692,19032607
116521487,Spain vs Georgia (2024-06-30),Substitution,2024-06-30 22:03:00.000,Georgia,Georgiy Tsitaishvili,L. Lochoshvili,,63,0,,,,537257,104100,18692,19032607
116521543,Spain vs Georgia (2024-06-30),Substitution,2024-06-30 22:06:00.000,Spain,Mikel Oyarzabal,Álvaro Morata,,66,0,,,,186932,129660,18710,19032607
116520536,Spain vs Georgia (2024-06-30),Goal,2024-06-30 21:39:00.000,Spain,Rodri,Nico Williams,"1-1",39,0,,,,186910,37297544,18710,19032607
116521204,Spain vs Georgia (2024-06-30),Goal,2024-06-30 21:51:00.000,Spain,Fabián Ruiz,Lamine Yamal,"2-1",51,0,,,,186735,37656179,18710,19032607
116521529,Spain vs Georgia (2024-06-30),Substitution,2024-06-30 22:06:00.000,Spain,Alejandro Grimaldo,Marc Cucurella,,66,0,,,,160208,448448,18710,19032607
116520692,Spain vs Georgia (2024-06-30),Yellowcard,2024-06-30 21:44:00.000,Spain,Álvaro Morata,,,44,0,,,,129660,,18710,19032607
116520618,Spain vs Georgia (2024-06-30),Substitution,2024-06-30 21:41:00.000,Georgia,Sandro Altunashvili,O. Kiteishvili,,41,0,,,,105926,106505,18692,19032607
116521734,Spain vs Georgia (2024-06-30),VAR,2024-06-30 22:14:00.000,Spain,Giorgi Gvelesiani,,,74,0,,,,103247,,18710,19032607
