,Model,Location,Miles,Prices,Year,Scraped_On,Dealership
54, Honda accord EX,"Cincinnati, OH",130000.0,"$12,875",2019,2024-07-01,False
55, Honda accord Sport Sedan 4D,"Fairfield, OH",147000.0,"$9,500",2017,2024-07-01,False
56, Toyota camry SE Sedan 4D,"Latonia, KY",148000.0,"$6,000",2009,2024-07-01,False
57, Toyota camry Sedan 4D,"Mason, OH",180000.0,"$4,100",2009,2024-07-01,False
58, Toyota camry LE Sedan 4D,"Cincinnati, OH",160000.0,"$5,000",2010,2024-07-01,False
59, Hyundai elantra GT Hatchback 4D,"Cincinnati, OH",180000.0,"$3,999",2014,2024-07-01,True
60, Volkswagen 2.0 convertable,"Cincinnati, OH",103000.0,"$12,995",2013,2024-07-01,False
61, Honda civic Sport,"Cincinnati, OH",10000.0,"$1,234",2024,2024-07-01,False
62, Mazda mazda3 s Touring Sedan 4D,"Newport, KY",181000.0,"$3,600",2007,2024-07-01,False
63, Nissan altima 3.5 SR Sedan 4D,"Cincinnati, OH",125000.0,"$5,400",2012,2024-07-01,False
64, Kia rio EX Sedan 4D,"West Chester, OH",144000.0,"$3,500",2015,2024-07-01,False
65, Toyota camry XLE Sedan 4D,"Fort Mitchell, KY",204000.0,"$2,500",2004,2024-07-01,False
66, Nissan altima !!!down payment!!!,"Cincinnati, OH",105000.0,"$4,000",2019,2024-07-01,False
67, Toyota corolla,"Cincinnati, OH",90000.0,"$6,800",2006,2024-07-01,False
68, Hyundai sonata SE Sedan 4D,"Bellevue, KY",86000.0,"$1,800",2015,2024-07-01,False
69, Volkswagen new beetle SE Convertible 2D,"Cincinnati, OH",141000.0,"$9,000",2008,2024-07-01,False
70, Hyundai elantra SE Sedan 4D,"Cincinnati, OH",66000.0,"$7,800",2015,2024-07-01,False
71, Hyundai sonata SE Sedan 4D,"Monroe, OH",110000.0,"$6,800",2015,2024-07-01,False
72, Hyundai elantra SE Sedan 4D,"Cincinnati, OH",105000.0,"$5,500",2014,2024-07-01,False
73, Hyundai elantra GLS Sedan 4D,"Cincinnati, OH",113000.0,"$4,999",2013,2024-07-01,False
74, Hyundai elantra SEL Sedan 4D,"Milford, OH",118000.0,"$9,900",2019,2024-07-01,False
75, Mazda mazda6 Touring,"Cincinnati, OH",103000.0,"$9,000",2014,2024-07-01,False
76, Hyundai elantra,"Florence, KY",58000.0,"$10,000",2017,2024-07-01,False
77, Hyundai elantra,"Cincinnati, OH",94000.0,"$6,000",2013,2024-07-01,False
78, Hyundai elantra SE Sedan 4D,"Cincinnati, OH",172000.0,"$5,995",2017,2024-07-01,True
79, Mazda mazda3 i Grand Touring Sedan 4D,"Cincinnati, OH",99000.0,"$5,700",2012,2024-07-01,False
80, Mazda mazda3 i Sport Hatchback 4D,"Cincinnati, OH",98000.0,"$7,800",2016,2024-07-01,False
81, Honda civic LX Sedan 4D,"Mason, OH",80000.0,"$12,000",2015,2024-07-01,False
82, Kia forte LXS Sedan 4D,"Covington, KY",130000.0,"$8,900",2019,2024-07-01,False
83, Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",132000.0,"$5,299",2013,2024-07-01,False
84, Nissan sentra S Sedan 4D,"Cincinnati, OH",132000.0,"$6,000",2017,2024-07-01,False
85, Nissan sentra SV Sedan 4D,"Cincinnati, OH",94000.0,"$5,500",2016,2024-07-01,False
86, Hyundai accent,"Cincinnati, OH",106000.0,"$5,250",2014,2024-07-01,False
87, Hyundai elantra SE Sedan 4D,"Springfield, OH",92000.0,"$5,500",2016,2024-07-01,False
88, Nissan sentra SV Sedan 4D,"Shelbyville, KY",72000.0,"$6,900",2013,2024-07-01,False
89, Honda civic LX Sedan 4D,"Fairfield, OH",53000.0,"$9,500",2015,2024-07-01,False
90, Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",123000.0,"$4,290",2013,2024-07-01,False
91, Toyota camry SE Sedan 4D,"Cincinnati, OH",117000.0,"$8,950",2015,2024-07-01,False
92, Hyundai elantra SEL Sedan 4D,"Cincinnati, OH",53000.0,"$18,000",2021,2024-07-01,False
93, Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",153000.0,"$4,995",2013,2024-07-01,False
94, Hyundai sonata,"Lexington, KY",93000.0,"$6,995",2014,2024-07-01,True
95, Toyota camry SE Sedan 4D,"Cincinnati, OH",122000.0,"$2,000",2016,2024-07-01,False
96, Nissan versa SL Sedan 4D,"Walton, KY",89000.0,"$6,200",2015,2024-07-01,False
97, Kia optima LX Sedan 4D,"Dayton, OH",75000.0,"$7,400",2017,2024-07-01,False
98, Hyundai elantra GLS Sedan 4D,"Covington, KY",171000.0,"$3,500",2013,2024-07-01,False
99, Kia optima SX Sedan 4D,"Cincinnati, OH",81000.0,"$7,000",2012,2024-07-01,False
100, Hyundai sonata hybrid 2.4 l4 fwd,"Cincinnati, OH",107000.0,"$8,993",2013,2024-07-01,False
101, Toyota camry SE Sedan 4D,"Shelbyville, KY",148000.0,"$7,900",2010,2024-07-01,False
102, Kia optima FE,"Dayton, OH",109000.0,"$7,000",2019,2024-07-01,False
103, Kia forte LX Sedan 4D,"Cincinnati, OH",101000.0,"$4,500",2016,2024-07-01,True
104, Hyundai sonata GLS Sedan 4D,"Cincinnati, OH",133000.0,"$4,680",2011,2024-07-01,False
105, Honda accord,"Lebanon, OH",100000.0,"$8,450",2012,2024-07-01,False
106, Hyundai elantra,"Cincinnati, OH",136000.0,"$1,500",2016,2024-07-01,False
107, Toyota camry XLE Sedan 4D,"Middletown, OH",72000.0,"$4,900",2004,2024-07-01,False
108, Ford fusion SE Sedan 4D,"Covington, KY",140000.0,"$5,600",2013,2024-07-01,False
109, Honda accord EX Coupe 2D,"Cincinnati, OH",78000.0,"$13,000",2017,2024-07-01,False
110, Kia optima EX Sedan 4D,"Alexandria, KY",174000.0,"$3,750",2012,2024-07-01,False
111, Kia optima EX Sedan 4D,"Cincinnati, OH",174000.0,"$7,500",2015,2024-07-01,False
112, Hyundai elantra GLS Sedan 4D,"Cincinnati, OH",150000.0,"$2,595",2014,2024-07-01,False
113, Kia optima SX Sedan 4D,"Cincinnati, OH",141000.0,"$5,999",2012,2024-07-01,False
114, Nissan sentra S Sedan 4D,"West Harrison, IN",127000.0,"$5,700",2012,2024-07-01,False
115, Nissan altima 2.5 SV Sedan 4D,"Cincinnati, OH",154000.0,"$5,850",2015,2024-07-01,True
116, Scion ia Sedan 4D,"Hope, IN",89000.0,"$1,800",2016,2024-07-01,False
117, Chevrolet spark 2LT Hatchback 4D,"Alexandria, KY",93000.0,"$6,500",2016,2024-07-01,False
118, Nissan altima 2.5 SL Sedan 4D,"Cincinnati, OH",138000.0,"$4,850",2011,2024-07-01,False
119, Ford fusion SE Sedan 4D,"Cincinnati, OH",74000.0,"$5,995",2010,2024-07-01,True
120, Nissan sentra SL,"Cincinnati, OH",170000.0,"$3,330",2015,2024-07-01,False
121, Ford fusion SEL Sedan 4D,"Cincinnati, OH",119000.0,"$4,995",2012,2024-07-01,False
122, Ford fusion SE Sedan 4D,"West Chester, OH",149000.0,"$5,500",2015,2024-07-01,False
123, Chevrolet sonic LT Sedan 4D,"Middletown, OH",88000.0,"$4,950",2015,2024-07-01,False
124, Volkswagen jetta 2.0L Base Sedan 4D,"Cincinnati, OH",137000.0,"$1,234",2014,2024-07-01,False
125, Jetta volkswagen sport,"Cincinnati, OH",159000.0,"$4,500",2011,2024-07-01,False
126, Kia optima LX Sedan 4D,"Lexington, KY",155000.0,"$5,500",2014,2024-07-01,False
127, Hyundai sonata,"Cincinnati, OH",81000.0,"$1,500",2015,2024-07-01,False
128, Honda accord LX Sedan 4D,"Cincinnati, OH",26000.0,"$17,950",2020,2024-07-01,False
129, Volkswagen jetta TDI SportWagen Sport Wagon 4D,"Fort Mitchell, KY",120000.0,"$5,800",2011,2024-07-01,False
130, Nissan versa S Sedan 4D,"Fort Mitchell, KY",159000.0,"$2,700",2010,2024-07-01,False
131, Ford focus SE Sedan 4D,"Fairfield, OH",72000.0,"$4,850",2013,2024-07-01,False
132, Audi a8 Quattro Sedan 4D,"Covington, KY",95000.0,"$7,900",2008,2024-07-01,False
133, Toyota prius,"Erlanger, KY",159000.0,"$5,900",2010,2024-07-01,False
134, Mazda mazda2 Touring Hatchback 4D,"Fairfield, OH",153000.0,"$4,050",2011,2024-07-01,False
135, Volkswagen cc Sport Plus Sedan 4D,"Dry Ridge, KY",189000.0,"$3,800",2013,2024-07-01,False
136, Lexus ES 350 Sedan 4D,"Maineville, OH",266000.0,"$10,000",2016,2024-07-01,False
137, Chrysler 200C Sedan 4D,"Lexington, KY",28000.0,"$14,000",2015,2024-07-01,False
138, Acura tl Special Edition Sedan 4D,"Cincinnati, OH",145000.0,"$5,500",2013,2024-07-01,False
139, Volkswagen jetta Wolfsburg Edition Sedan 4D,"Alexandria, KY",113000.0,"$2,600",2008,2024-07-01,False
140, Chevrolet cruze limited 1LT Sedan 4D,"Dayton, OH",55000.0,"$6,200",2016,2024-07-01,False
141, Volkswagen new beetle 2.5 Convertible 2D,"Cincinnati, OH",162000.0,"$4,000",2006,2024-07-01,False
142, Nissan altima sr (down-payment),"Cincinnati, OH",300.0,"$2,000",2024,2024-07-01,False
143, Hyundai sonata Sedan 4D,"Trenton, OH",120000.0,"$5,500",2016,2024-07-01,False
144, Kia forte LXS Sedan 4D,"Lexington, KY",86000.0,"$9,000",2019,2024-07-01,False
145, Nissan sentra S Sedan 4D,"Frankfort, KY",178000.0,"$6,000",2019,2024-07-01,False
146, Honda accord,"Erlanger, KY",116000.0,"$7,000",2012,2024-07-01,False
147, Nissan versa SV Sedan 4D,"Cincinnati, OH",100000.0,"$5,299",2016,2024-07-01,False
148, Toyota camry,"Cincinnati, OH",110000.0,"$6,900",2009,2024-07-01,False
149, Mazda mazda3,"Hamilton, OH",92000.0,"$7,999",2017,2024-07-01,False
150, Hyundai sonata GLS Sedan 4D,"Cincinnati, OH",143000.0,"$4,500",2013,2024-07-01,False
151, Mazda mazda3 i Touring Sedan 4D,"Cincinnati, OH",20000.0,"$3,300",2010,2024-07-01,False
152, Nissan altima 2.5 SL Sedan 4D,"Cincinnati, OH",113000.0,"$6,500",2013,2024-07-01,False
153, Nissan altima 2.5 S Sedan 4D,"Hamilton, OH",144000.0,"$4,800",2015,2024-07-01,False
154, Nissan versa sedan,"Shelbyville, KY",96000.0,"$7,500",2017,2024-07-01,False
155, Toyota camry L Sedan 4D,"Fairfield, OH",43000.0,"$18,995",2019,2024-07-01,False
156, Ford fusion SE Sedan 4D,"Dayton, OH",73000.0,"$8,900",2016,2024-07-01,False
157, Ford fusion SE Sedan 4D,"Florence, KY",102000.0,"$5,500",2013,2024-07-01,False
158, Chevrolet cruze LS Sedan 4D,"Florence, KY",140000.0,"$6,000",2012,2024-07-01,False
159, Ford fusion S Sedan 4D,"Lexington, KY",84000.0,"$8,000",2017,2024-07-01,False
160, Toyota camry XSE Sedan 4D,"Monroe, OH",198000.0,"$7,500",2015,2024-07-01,False
161, Ford fusion SE Sedan 4D,"Cincinnati, OH",120000.0,"$6,750",2017,2024-07-01,False
162, Nissan altima 3.5 SR Sedan 4D,"Cincinnati, OH",76000.0,"$8,500",2016,2024-07-01,False
163, Hyundai sonata GLS Sedan 4D,"Cincinnati, OH",152000.0,"$3,500",2011,2024-07-01,False
164, Nissan maxima SR (2017.5) Sedan 4D,"Cincinnati, OH",87000.0,"$9,800",2017,2024-07-01,False
165, Nissan rogue S Sport Utility 4D,"Cincinnati, OH",65000.0,"$9,000",2016,2024-07-01,False
166, Honda fit LX Hatchback 4D,"Cincinnati, OH",82000.0,"$8,999",2017,2024-07-01,False
167, Honda accord sport 2.4l l4 fwd,"Cincinnati, OH",93000.0,"$13,993",2017,2024-07-01,False
168, Nissan altima 2.5 S Sedan 4D,"Florence, KY",133000.0,"$3,500",2011,2024-07-01,False
169, Nissan rogue SV Sport Utility 4D,"Cincinnati, OH",55000.0,"$8,800",2015,2024-07-01,False
170, Ford focus titanium,"Campbellsburg, KY",117000.0,"$6,500",2016,2024-07-01,False
171, Toyota matrix S Sport Wagon 4D,"Florence, KY",147000.0,"$6,100",2009,2024-07-01,False
172, Acura tlx 3.5 Sedan 4D,"Cincinnati, OH",97000.0,"$10,250",2015,2024-07-01,False
173, Hyundai accent se 6a,"Hamilton, OH",47000.0,"$14,900",2021,2024-07-01,False
174, Kia optima SX Sedan 4D,"Cincinnati, OH",147000.0,"$5,299",2012,2024-07-01,False
175, Kia optima EX Sedan 4D,"Cincinnati, OH",174000.0,"$6,900",2015,2024-07-01,False
176, Ford fiesta SE Hatchback 4D,"Fort Mitchell, KY",110000.0,"$5,000",2011,2024-07-01,False
177, Honda hr-v LX Sport Utility 4D,"Cincinnati, OH",105000.0,"$11,500",2016,2024-07-01,False
178, Honda fit Hatchback 4D,"Cincinnati, OH",87000.0,"$5,900",2012,2024-07-01,False
179, Mazda mazda3 s Sport Sedan 4D,"Fort Thomas, KY",301000.0,"$1,500",2008,2024-07-01,False
180, Lexus IS 250 Sport Sedan 4D,"Newport, KY",163000.0,"$4,000",2009,2024-07-01,False
181, Chevrolet malibu,"Cincinnati, OH",118000.0,"$9,995",2016,2024-07-01,False
182, Chevrolet equinox LT Sport Utility 4D,"Latonia, KY",17000.0,"$5,600",2012,2024-07-01,False
183, Mazda mazda3 i Touring Value Sedan 4D,"Cincinnati, OH",155000.0,"$3,000",2009,2024-07-01,False
184, Ford escape SE Sport Utility 4D,"Cincinnati, OH",83000.0,"$6,900",2017,2024-07-01,False
185, Chevrolet cruze LT Sedan 4D,"Cincinnati, OH",102000.0,"$4,900",2014,2024-07-01,True
186, Nissan rogue S Sport Utility 4D,"Lawrenceburg, IN",90000.0,"$5,500",2011,2024-07-01,False
187, Ford fusion SEL Sedan 4D,"Dayton, OH",115000.0,"$5,995",2010,2024-07-01,False
188, Nissan altima,"Cincinnati, OH",175000.0,"$2,000",2016,2024-07-01,False
189," Honda civic $1,500 down","Hamilton, OH",130000.0,"$1,500",2015,2024-07-01,False
190, Chevrolet cruze limited 2LT Sedan 4D,"Dry Ridge, KY",161000.0,"$7,500",2016,2024-07-01,False
191, Ford fiesta S Sedan 4D,"Dayton, OH",124000.0,"$3,700",2013,2024-07-01,False
192, Nissan versa sv (down-payment),"Cincinnati, OH",83000.0,"$1,500",2019,2024-07-01,False
193, Kia optima EX Sedan 4D,"Cincinnati, OH",146000.0,"$4,000",2011,2024-07-01,False
194, Volkswagen passat Komfort Sedan 4D,"Latonia, KY",77000.0,"$2,000",2009,2024-07-01,False
195, Dodge dart SXT Sedan 4D,"West Chester, OH",138000.0,"$5,500",2013,2024-07-01,False
196, Honda accord EX Sedan 4D,"La Grange, KY",180000.0,"$5,900",2011,2024-07-01,False
197, Hyundai sonata,"Butler, KY",146000.0,"$3,000",2004,2024-07-01,False
198, Kia Soul,"Cincinnati, OH",80000.0,"$7,999",2019,2024-07-01,True
199, Infiniti q50,"Independence, KY",62000.0,"$15,992",2016,2024-07-01,False
200, Chrysler 200 Touring Sedan 4D,"Cincinnati, OH",130000.0,"$3,300",2013,2024-07-01,False
201, Honda civic Sport Sedan 4D,"Mason, OH",20000.0,"$18,000",2022,2024-07-01,False
202, Chrysler 200 Limited Sedan 4D,"Cincinnati, OH",112000.0,"$5,495",2015,2024-07-01,True
203, Jaguar s-type Sedan 4D,"Hamilton, OH",83000.0,"$8,650",2008,2024-07-01,False
204, Nissan altima 2.5 S Coupe 2D,"Cincinnati, OH",160000.0,"$3,900",2013,2024-07-01,False
205, Toyota highlander,"Cincinnati, OH",150000.0,"$8,000",2011,2024-07-01,False
206, Toyota rav4 Sport SUV 4D,"Milford, OH",119000.0,"$7,900",2012,2024-07-01,False
207, Toyota highlander Limited Sport Utility 4D,"Newport, KY",155000.0,"$14,900",2014,2024-07-01,False
208, Honda cr-v EX-L Sport Utility 4D,"Cincinnati, OH",212000.0,"$6,995",2013,2024-07-01,False
209, Toyota venza Wagon 4D,"Cincinnati, OH",158000.0,"$7,000",2011,2024-07-01,False
