,Unnamed: 0,Model,Location,Miles,Prices,Year,Dealership,Manufacturer,Model_name,Mileage_Category
80,80,Mazda mazda3 i Sport Hatchback 4D,"Cincinnati, OH",98000.0,7800,2016,False,Mazda,mazda3 i Sport Hatchback 4D,50k-100k
81,81,Honda civic LX Sedan 4D,"Mason, OH",80000.0,12000,2015,False,Honda,civic LX Sedan 4D,50k-100k
82,82,Kia forte LXS Sedan 4D,"Covington, KY",130000.0,8900,2019,False,Kia,forte LXS Sedan 4D,100k-150k
83,83,Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",132000.0,5299,2013,False,Hyundai,elantra Limited Sedan 4D,100k-150k
84,84,Nissan sentra S Sedan 4D,"Cincinnati, OH",132000.0,6000,2017,False,Nissan,sentra S Sedan 4D,100k-150k
85,85,Nissan sentra SV Sedan 4D,"Cincinnati, OH",94000.0,5500,2016,False,Nissan,sentra SV Sedan 4D,50k-100k
86,86,Hyundai accent,"Cincinnati, OH",106000.0,5250,2014,False,Hyundai,accent,100k-150k
87,87,Hyundai elantra SE Sedan 4D,"Springfield, OH",92000.0,5500,2016,False,Hyundai,elantra SE Sedan 4D,50k-100k
88,88,Nissan sentra SV Sedan 4D,"Shelbyville, KY",72000.0,6900,2013,False,Nissan,sentra SV Sedan 4D,50k-100k
89,89,Honda civic LX Sedan 4D,"Fairfield, OH",53000.0,9500,2015,False,Honda,civic LX Sedan 4D,50k-100k
90,90,Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",123000.0,4290,2013,False,Hyundai,elantra Limited Sedan 4D,100k-150k
91,91,Toyota camry SE Sedan 4D,"Cincinnati, OH",117000.0,8950,2015,False,Toyota,camry SE Sedan 4D,100k-150k
92,92,Hyundai elantra SEL Sedan 4D,"Cincinnati, OH",53000.0,18000,2021,False,Hyundai,elantra SEL Sedan 4D,50k-100k
93,93,Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",153000.0,4995,2013,False,Hyundai,elantra Limited Sedan 4D,Over 150k
94,94,Hyundai sonata,"Lexington, KY",93000.0,6995,2014,True,Hyundai,sonata,50k-100k
95,95,Toyota camry SE Sedan 4D,"Cincinnati, OH",122000.0,2000,2016,False,Toyota,camry SE Sedan 4D,100k-150k
96,96,Nissan versa SL Sedan 4D,"Walton, KY",89000.0,6200,2015,False,Nissan,versa SL Sedan 4D,50k-100k
97,97,Kia optima LX Sedan 4D,"Dayton, OH",75000.0,7400,2017,False,Kia,optima LX Sedan 4D,50k-100k
98,98,Hyundai elantra GLS Sedan 4D,"Covington, KY",171000.0,3500,2013,False,Hyundai,elantra GLS Sedan 4D,Over 150k
99,99,Kia optima SX Sedan 4D,"Cincinnati, OH",81000.0,7000,2012,False,Kia,optima SX Sedan 4D,50k-100k
100,100,Hyundai sonata hybrid 2.4 l4 fwd,"Cincinnati, OH",107000.0,8993,2013,False,Hyundai,sonata hybrid 2.4 l4 fwd,100k-150k
101,101,Toyota camry SE Sedan 4D,"Shelbyville, KY",148000.0,7900,2010,False,Toyota,camry SE Sedan 4D,100k-150k
102,102,Kia optima FE,"Dayton, OH",109000.0,7000,2019,False,Kia,optima FE,100k-150k
103,103,Kia forte LX Sedan 4D,"Cincinnati, OH",101000.0,4500,2016,True,Kia,forte LX Sedan 4D,100k-150k
104,104,Hyundai sonata GLS Sedan 4D,"Cincinnati, OH",133000.0,4680,2011,False,Hyundai,sonata GLS Sedan 4D,100k-150k
105,105,Honda accord,"Lebanon, OH",100000.0,8450,2012,False,Honda,accord,50k-100k
106,106,Hyundai elantra,"Cincinnati, OH",136000.0,1500,2016,False,Hyundai,elantra,100k-150k
107,107,Toyota camry XLE Sedan 4D,"Middletown, OH",72000.0,4900,2004,False,Toyota,camry XLE Sedan 4D,50k-100k
108,108,Ford fusion SE Sedan 4D,"Covington, KY",140000.0,5600,2013,False,Ford,fusion SE Sedan 4D,100k-150k
109,109,Honda accord EX Coupe 2D,"Cincinnati, OH",78000.0,13000,2017,False,Honda,accord EX Coupe 2D,50k-100k
110,110,Kia optima EX Sedan 4D,"Alexandria, KY",174000.0,3750,2012,False,Kia,optima EX Sedan 4D,Over 150k
111,111,Kia optima EX Sedan 4D,"Cincinnati, OH",174000.0,7500,2015,False,Kia,optima EX Sedan 4D,Over 150k
112,112,Hyundai elantra GLS Sedan 4D,"Cincinnati, OH",150000.0,2595,2014,False,Hyundai,elantra GLS Sedan 4D,100k-150k
113,113,Kia optima SX Sedan 4D,"Cincinnati, OH",141000.0,5999,2012,False,Kia,optima SX Sedan 4D,100k-150k
114,114,Nissan sentra S Sedan 4D,"West Harrison, IN",127000.0,5700,2012,False,Nissan,sentra S Sedan 4D,100k-150k
115,115,Nissan altima 2.5 SV Sedan 4D,"Cincinnati, OH",154000.0,5850,2015,True,Nissan,altima 2.5 SV Sedan 4D,Over 150k
116,116,Scion ia Sedan 4D,"Hope, IN",89000.0,1800,2016,False,Scion,ia Sedan 4D,50k-100k
117,117,Chevrolet spark 2LT Hatchback 4D,"Alexandria, KY",93000.0,6500,2016,False,Chevrolet,spark 2LT Hatchback 4D,50k-100k
118,118,Nissan altima 2.5 SL Sedan 4D,"Cincinnati, OH",138000.0,4850,2011,False,Nissan,altima 2.5 SL Sedan 4D,100k-150k
119,119,Ford fusion SE Sedan 4D,"Cincinnati, OH",74000.0,5995,2010,True,Ford,fusion SE Sedan 4D,50k-100k
120,120,Nissan sentra SL,"Cincinnati, OH",170000.0,3330,2015,False,Nissan,sentra SL,Over 150k
121,121,Ford fusion SEL Sedan 4D,"Cincinnati, OH",119000.0,4995,2012,False,Ford,fusion SEL Sedan 4D,100k-150k
122,122,Ford fusion SE Sedan 4D,"West Chester, OH",149000.0,5500,2015,False,Ford,fusion SE Sedan 4D,100k-150k
123,123,Chevrolet sonic LT Sedan 4D,"Middletown, OH",88000.0,4950,2015,False,Chevrolet,sonic LT Sedan 4D,50k-100k
